,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Ushuaia,AR,42.8,-54.81,-68.31,87,75,26.4
1,Vestmannaeyjar,IS,32.69,63.44,-20.27,96,0,12.08
2,Lazaro Cardenas,MX,75.34,28.39,-105.62,13,40,10.29
3,Gravdal,NO,44.19,59.79,5.78,45,36,21.92
4,Jamestown,AU,76.07,-33.21,138.6,47,0,1.45
5,Upernavik,GL,14.51,72.79,-56.15,100,92,16.11
6,Albany,US,38.25,42.65,-73.75,26,90,11.41
7,Salalah,OM,77,17.01,54.1,78,20,3.36
8,Zitsa,GR,45.25,39.75,20.65,87,0,2.24
9,Torbay,CA,30.42,47.66,-52.73,74,20,16.11
10,Mataura,NZ,61,-46.19,168.86,59,0,4.14
11,Nadym,RU,21.17,65.53,72.51,83,64,12.64
12,Busselton,AU,70.45,-33.64,115.35,39,0,16.89
13,Longyearbyen,NO,8.6,78.22,15.63,71,75,3.36
14,Mar del Plata,AR,60.77,-46.43,-67.52,46,0,18.23
15,Georgetown,GY,80.6,6.8,-58.16,74,20,6.93
16,Camacupa,AO,57.98,-12.02,17.48,67,0,2.91
17,Moerai,PF,78.41,-22.43,-151.33,100,68,19.91
18,Punta Arenas,CL,42.42,-53.16,-70.91,93,90,8.05
19,Severo-Kurilsk,RU,33.68,50.68,156.12,90,88,13.2
20,Yomou,GN,69.23,7.57,-9.26,94,68,2.68
21,Chuy,UY,71.48,-33.69,-53.46,84,48,7.16
22,Hilo,US,70.05,19.71,-155.08,94,90,12.75
23,Avarua,CK,82.4,-21.21,-159.78,65,0,11.41
24,Hermanus,ZA,59.32,-34.42,19.24,86,12,5.99
25,Kamenka,RU,35.01,53.19,44.05,50,32,15.66
26,Castro,CL,48.2,-42.48,-73.76,93,12,3.47
27,Thompson,CA,12.2,55.74,-97.86,61,75,6.93
28,Gat,SN,68,14.69,-16.54,68,24,24.16
29,Vila Velha,BR,81.41,-3.71,-38.6,83,75,5.82
30,Flinders,AU,76.03,-34.58,150.85,47,20,8.05
31,Nelson Bay,AU,76.73,-32.72,152.14,60,40,4.7
32,Karratha,AU,96.77,-20.74,116.85,29,0,5.48
33,Pevek,RU,29.81,69.7,170.27,79,12,9.95
34,Vysokogornyy,RU,29.72,50.1,139.13,56,64,3.13
35,Samarai,PG,82.91,-10.62,150.67,100,20,7.72
36,Kruisfontein,ZA,61.13,-34,24.73,78,80,11.74
37,Meulaboh,ID,83.45,4.14,96.13,100,0,3.24
38,Saint-Philippe,CA,40.96,45.36,-73.48,38,1,8.05
39,Ribeira Grande,PT,58.61,38.52,-28.7,100,64,14.76
40,Ardakan,IR,55.4,32.31,54.02,32,0,4.7
41,Geraldton,CA,28.4,49.72,-86.95,100,90,4.7
42,Raudeberg,NO,39.92,61.99,5.14,70,80,9.17
43,Khatanga,RU,18.47,71.98,102.47,97,64,5.93
44,Dourbali,TD,75.35,11.81,15.86,24,0,11.41
45,Bredasdorp,ZA,62.6,-34.53,20.04,77,12,8.05
46,Nowa Sol,PL,44.51,51.8,15.72,70,0,2.24
47,Toufen,TW,70.47,24.69,120.91,88,75,9.17
48,Mount Gambier,AU,60.8,-37.83,140.78,93,90,14.99
49,New Norfolk,AU,58.44,-42.78,147.06,54,75,21.92
50,Itoman,JP,67.32,26.12,127.67,52,75,10.29
51,Atuona,PF,81.92,-9.8,-139.03,100,0,12.19
52,Rikitea,PF,75.98,-23.12,-134.97,100,0,16.67
53,Lakes Entrance,AU,79.25,-37.88,147.99,39,68,4.59
54,Faanui,PF,85.16,-16.48,-151.75,100,44,11.74
55,Puerto Ayora,EC,80.01,-0.74,-90.35,94,20,6.49
56,Slavjanovo,BG,35.01,43.47,24.87,56,0,5.03
57,Honiara,SB,81.92,-9.43,159.96,84,80,3.58
58,Wagar,US,53.38,31.44,-87.99,69,0,4.59
59,Staraya Poltavka,RU,35.93,50.48,46.48,94,92,20.47
60,Redmond,US,60.75,47.67,-122.12,39,90,4.7
61,Bluff,AU,84.53,-23.58,149.07,45,0,12.64
62,Victoria,BN,86,5.28,115.24,70,75,3.36
63,Santa Cruz,US,55.49,36.97,-122.03,87,90,6.93
64,Vaini,IN,66.2,15.34,74.49,82,0,1.68
65,Ostersund,SE,28.51,63.18,14.64,59,0,10.29
66,Hobyo,SO,79.49,5.35,48.53,89,48,8.28
67,Katsuura,JP,48.4,33.93,134.5,46,20,9.17
68,Cockburn Town,TC,77.78,21.46,-71.14,100,0,11.74
69,Sarangani,PH,81.83,5.4,125.46,99,48,1.57
70,Cape Town,ZA,58.84,-33.93,18.42,67,0,8.05
71,Nepa Nagar,IN,87.77,21.47,76.4,24,0,4.14
72,Hobart,AU,58.44,-42.88,147.33,54,75,21.92
73,Yeppoon,AU,84.2,-23.13,150.74,48,20,12.75
74,Souillac,FR,43.88,45.6,-0.6,87,92,9.17
75,Cherskiy,RU,34.13,68.75,161.3,76,12,5.37
76,Jacksonville,US,55.24,30.33,-81.66,81,1,3.36
